en,1,2061
fr,2,223
nl,3,14
ja,4,74
bn,5,3
ro,6,2
de,7,139
es,8,47
it,9,74
ru,10,20
sv,11,22
da,12,14
cs,13,7
pt,14,13
pl,15,11
zh,16,16
fi,17,9
th,18,8
hi,19,14
cn,20,7
tr,21,6
ko,22,21
mn,23,2
fa,24,3
he,25,2
zu,26,1
uk,27,1
hu,28,3
bs,29,1
no,30,3
et,31,1
xx,32,1
ka,33,1
tl,34,1
kk,35,1
ta,36,1
sr,37,1
te,38,1
other,39,0
